split_mode,primary,comparator,seed,metric,improvement_definition,bootstrap_replicates,mean_improvement,std_improvement,ci_lower_2.5,ci_upper_97.5
official,tim_sfsa,linear_cox,2345,48h_hss2,primary_minus_comparator,1000,0.16807401269732283,0.032668245034182336,0.10667540475094905,0.2396136230652802
official,tim_sfsa,linear_cox,2345,48h_bss,primary_minus_comparator,1000,0.000500748349092639,0.025127798827075182,-0.0439724379031089,0.05315963571538075
official,tim_sfsa,linear_cox,2346,harrell_c_index,primary_minus_comparator,1000,0.00894776814473855,0.008258951378949695,-0.005575532706450081,0.026353841102493836
official,tim_sfsa,linear_cox,2346,uno_c_index,primary_minus_comparator,1000,0.007803330486974714,0.02156679842166269,-0.03145309027980697,0.0523597834008869
official,tim_sfsa,linear_cox,2346,integrated_auc,primary_minus_comparator,1000,0.01198987890062725,0.009119425915381537,-0.003930753721372304,0.03168479770924308
official,tim_sfsa,linear_cox,2346,integrated_brier_score,comparator_minus_primary,1000,0.0008054554628197088,0.0014966803314886514,-0.0021385483428301324,0.0037523290545280765
official,tim_sfsa,linear_cox,2346,24h_tss,primary_minus_comparator,1000,0.0473825126499318,0.02422860247647672,0.012192054767630082,0.10288102776643393
official,tim_sfsa,linear_cox,2346,24h_hss2,primary_minus_comparator,1000,0.08602536902638229,0.024284114670200575,0.04383183361811253,0.13711870507139803
official,tim_sfsa,linear_cox,2346,24h_bss,primary_minus_comparator,1000,0.002760741285739559,0.033763442668548485,-0.056149210528503586,0.07477780348109217
official,tim_sfsa,linear_cox,2346,48h_tss,primary_minus_comparator,1000,0.05126541544582048,0.025530738340444652,-0.0038666223752304206,0.09834076827835658
official,tim_sfsa,linear_cox,2346,48h_hss2,primary_minus_comparator,1000,0.13560968508958057,0.03011195631815413,0.07930818329553449,0.19523021641276353
official,tim_sfsa,linear_cox,2346,48h_bss,primary_minus_comparator,1000,0.009563663577839764,0.026096734273638445,-0.03896622190622524,0.06396768679783739
official,tim_sfsa,linear_cox,2347,harrell_c_index,primary_minus_comparator,1000,0.00661573392117387,0.007968436130874387,-0.006775277928407935,0.024326701729514573
official,tim_sfsa,linear_cox,2347,uno_c_index,primary_minus_comparator,1000,0.0073771794984409675,0.02052775176524403,-0.03555467250451117,0.04704827206693212
official,tim_sfsa,linear_cox,2347,integrated_auc,primary_minus_comparator,1000,0.009283328867033184,0.009095187968012628,-0.005902596380466469,0.029612797198978906
official,tim_sfsa,linear_cox,2347,integrated_brier_score,comparator_minus_primary,1000,0.0004743296723297609,0.0014436810822517506,-0.0023360790514708116,0.0032964509550235306
official,tim_sfsa,linear_cox,2347,24h_tss,primary_minus_comparator,1000,0.035648098439413245,0.029144574549211953,-0.02066458577648641,0.09467928417943768
official,tim_sfsa,linear_cox,2347,24h_hss2,primary_minus_comparator,1000,0.10272648931993042,0.029036323703032423,0.050920041700384534,0.1670286870493249
official,tim_sfsa,linear_cox,2347,24h_bss,primary_minus_comparator,1000,-0.01999137496800516,0.031624847850769564,-0.07945373545595305,0.04292215954404283
official,tim_sfsa,linear_cox,2347,48h_tss,primary_minus_comparator,1000,0.03806640602879731,0.035541620927691774,-0.04663745215240084,0.09955079533484067
official,tim_sfsa,linear_cox,2347,48h_hss2,primary_minus_comparator,1000,0.20601859864630082,0.03459409562130084,0.14059790271332967,0.27718650845154735
official,tim_sfsa,linear_cox,2347,48h_bss,primary_minus_comparator,1000,-0.004512994202870871,0.02462327441704811,-0.0515523674695896,0.04575186128610004
official,tim_sfsa,logistic,2345,harrell_c_index,primary_minus_comparator,1000,0.012216222123794494,0.00951658748316003,-0.003332157588355961,0.033872633538614555
official,tim_sfsa,logistic,2345,uno_c_index,primary_minus_comparator,1000,0.004385373245310325,0.030675988184731204,-0.05559538270848656,0.06641632060499063
