split_mode,experiment,feature_count,metric,mean,std,seeds
chronological,logistic,24,144h_tss,0.8476626813577255,0.0,3
chronological,logistic,24,24h_alert_fraction,0.05602716468590832,0.0,3
chronological,logistic,24,24h_auc,0.9915456265678951,0.0,3
chronological,logistic,24,24h_average_precision,0.9253502780115325,0.0,3
chronological,logistic,24,24h_brier,0.011036617840981316,0.0,3
chronological,logistic,24,24h_bss,0.7275487005538223,0.0,3
chronological,logistic,24,24h_calibration_intercept,-0.292140593235087,0.0,3
chronological,logistic,24,24h_calibration_slope,1.5395345057682828,0.0,3
chronological,logistic,24,24h_ece,0.013296728562537363,0.0,3
chronological,logistic,24,24h_f1,0.7820026779581325,0.0,3
chronological,logistic,24,24h_far,0.2989738545058538,0.0,3
chronological,logistic,24,24h_fn_ipcw,3.2455583425523042,0.0,3
chronological,logistic,24,24h_fp_ipcw,10.561669411961708,0.0,3
chronological,logistic,24,24h_hss2,0.7716237570343861,0.0,3
chronological,logistic,24,24h_km_reference_brier,0.040508589474213846,0.0,3
chronological,logistic,24,24h_known_count,589.0,0.0,3
chronological,logistic,24,24h_observed_survival_km,0.9596542113347408,0.0,3
chronological,logistic,24,24h_precision,0.7010261454941462,0.0,3
chronological,logistic,24,24h_predicted_survival_mean,0.9497717342696178,0.0,3
chronological,logistic,24,24h_recall,0.8841297721581262,0.0,3
chronological,logistic,24,24h_threshold,0.25343690188703094,0.0,3
chronological,logistic,24,24h_tn_ipcw,648.9559094238693,0.0,3
chronological,logistic,24,24h_tp_ipcw,24.76472870876398,0.0,3
chronological,logistic,24,24h_tss,0.8681155372826814,0.0,3
chronological,logistic,24,48h_alert_fraction,0.10444874274661509,0.0,3
chronological,logistic,24,48h_auc,0.9903192609215171,0.0,3
chronological,logistic,24,48h_average_precision,0.9253826014182239,0.0,3
chronological,logistic,24,48h_brier,0.01138023048722031,0.0,3
chronological,logistic,24,48h_bss,0.7641210165708565,0.0,3
chronological,logistic,24,48h_calibration_intercept,-0.44327707701804053,0.0,3
chronological,logistic,24,48h_calibration_slope,1.635827848040247,0.0,3
chronological,logistic,24,48h_ece,0.02170566005173791,0.0,3
chronological,logistic,24,48h_f1,0.6569022680648271,0.0,3
chronological,logistic,24,48h_far,0.5019153554407144,0.0,3
chronological,logistic,24,48h_fn_ipcw,1.169247255604473,0.0,3
chronological,logistic,24,48h_fp_ipcw,31.928848307634485,0.0,3
chronological,logistic,24,48h_hss2,0.633530310106276,0.0,3
chronological,logistic,24,48h_km_reference_brier,0.048246055336417265,0.0,3
chronological,logistic,24,48h_known_count,517.0,0.0,3
chronological,logistic,24,48h_observed_survival_km,0.9525778467901921,0.0,3
chronological,logistic,24,48h_precision,0.4980846445592857,0.0,3
chronological,logistic,24,48h_predicted_survival_mean,0.9366531166263142,0.0,3
chronological,logistic,24,48h_recall,0.9644112524789921,0.0,3
