split_mode,experiment,seed,depth,feature_count,metric,value
chronological,linear_cox,2346,2,24,144h_fn_ipcw,1.169247255604473
chronological,linear_cox,2346,2,24,144h_tss,0.8405955435485382
chronological,linear_cox,2346,2,24,144h_hss2,0.4248189328196188
chronological,linear_cox,2346,2,24,144h_far,0.686053299712925
chronological,linear_cox,2346,2,24,144h_precision,0.31394670028707505
chronological,linear_cox,2346,2,24,144h_recall,0.9678040241139091
chronological,linear_cox,2346,2,24,144h_f1,0.4740997982070363
chronological,linear_cox,2346,2,24,144h_alert_fraction,0.21518987341772153
chronological,linear_cox,2346,2,24,144h_known_count,316.0
chronological,linear_cox,2346,2,24,144h_auc,0.9922925315528094
chronological,linear_cox,2346,2,24,144h_average_precision,0.9458646135831178
chronological,linear_cox,2346,2,24,144h_brier,0.014101519040782079
chronological,linear_cox,2346,2,24,144h_km_reference_brier,0.05843412983047235
chronological,linear_cox,2346,2,24,144h_bss,0.7586766658168256
chronological,linear_cox,2346,2,24,144h_predicted_survival_mean,0.9097874243720121
chronological,linear_cox,2346,2,24,144h_observed_survival_km,0.9473444532866776
chronological,linear_cox,2346,2,24,144h_ece,0.06213147338563385
chronological,linear_cox,2346,2,24,144h_calibration_intercept,0.08980909700052754
chronological,linear_cox,2346,2,24,144h_calibration_slope,2.7456116220286626
chronological,linear_cox,2346,2,24,integrated_brier_score,0.011669929569123688
chronological,linear_cox,2346,2,24,integrated_auc,0.9932154123961698
chronological,linear_cox,2347,2,24,harrell_c_index,0.9725033816875787
chronological,linear_cox,2347,2,24,uno_c_index,0.8299982880541411
chronological,linear_cox,2347,2,24,event_event_pairs,703.0
chronological,linear_cox,2347,2,24,event_event_fraction,0.0327907085218527
chronological,linear_cox,2347,2,24,event_event_c_index,0.7382645803698435
chronological,linear_cox,2347,2,24,event_censored_pairs,20736.0
chronological,linear_cox,2347,2,24,event_censored_fraction,0.9672092914781473
chronological,linear_cox,2347,2,24,event_censored_c_index,0.980444637345679
chronological,linear_cox,2347,2,24,12h_threshold,0.052064164621766995
chronological,linear_cox,2347,2,24,12h_tp_ipcw,26.841039795711808
chronological,linear_cox,2347,2,24,12h_tn_ipcw,614.4453879018183
chronological,linear_cox,2347,2,24,12h_fp_ipcw,42.56371248342969
chronological,linear_cox,2347,2,24,12h_fn_ipcw,0.0
chronological,linear_cox,2347,2,24,12h_tss,0.9352159468438539
chronological,linear_cox,2347,2,24,12h_hss2,0.5312239199837658
chronological,linear_cox,2347,2,24,12h_far,0.6132679836135881
chronological,linear_cox,2347,2,24,12h_precision,0.3867320163864119
chronological,linear_cox,2347,2,24,12h_recall,1.0
chronological,linear_cox,2347,2,24,12h_f1,0.5577602764147176
chronological,linear_cox,2347,2,24,12h_alert_fraction,0.1035031847133758
chronological,linear_cox,2347,2,24,12h_known_count,628.0
chronological,linear_cox,2347,2,24,12h_auc,0.9970571440937512
chronological,linear_cox,2347,2,24,12h_average_precision,0.9524391217677077
chronological,linear_cox,2347,2,24,12h_brier,0.009218275121681873
chronological,linear_cox,2347,2,24,12h_km_reference_brier,0.03719403170926477
chronological,linear_cox,2347,2,24,12h_bss,0.7521571419377571
chronological,linear_cox,2347,2,24,12h_predicted_survival_mean,0.9588192098729184
chronological,linear_cox,2347,2,24,12h_observed_survival_km,0.9613497134749082
chronological,linear_cox,2347,2,24,12h_ece,0.015088026255897837
chronological,linear_cox,2347,2,24,12h_calibration_intercept,0.9308752519706082
chronological,linear_cox,2347,2,24,12h_calibration_slope,2.04397399848219
chronological,linear_cox,2347,2,24,24h_threshold,0.07006751384011212
chronological,linear_cox,2347,2,24,24h_tp_ipcw,26.841039795711808
chronological,linear_cox,2347,2,24,24h_tn_ipcw,593.8005247169583
chronological,linear_cox,2347,2,24,24h_fp_ipcw,65.71705411887284
chronological,linear_cox,2347,2,24,24h_fn_ipcw,1.169247255604473
chronological,linear_cox,2347,2,24,24h_tss,0.858612377666931
chronological,linear_cox,2347,2,24,24h_hss2,0.40822533701654806
chronological,linear_cox,2347,2,24,24h_far,0.7100087235970793
chronological,linear_cox,2347,2,24,24h_precision,0.2899912764029207
chronological,linear_cox,2347,2,24,24h_recall,0.95825650578081
chronological,linear_cox,2347,2,24,24h_f1,0.44524177202483917
chronological,linear_cox,2347,2,24,24h_alert_fraction,0.13921901528013583
chronological,linear_cox,2347,2,24,24h_known_count,589.0
chronological,linear_cox,2347,2,24,24h_auc,0.9922998458219086
chronological,linear_cox,2347,2,24,24h_average_precision,0.9218933168337996
chronological,linear_cox,2347,2,24,24h_brier,0.010702754097327903
chronological,linear_cox,2347,2,24,24h_km_reference_brier,0.040508589474213846
chronological,linear_cox,2347,2,24,24h_bss,0.7357905018109592
chronological,linear_cox,2347,2,24,24h_predicted_survival_mean,0.9448372260979512
chronological,linear_cox,2347,2,24,24h_observed_survival_km,0.9596542113347408
chronological,linear_cox,2347,2,24,24h_ece,0.01883087246852512
chronological,linear_cox,2347,2,24,24h_calibration_intercept,-0.3283613303742542
chronological,linear_cox,2347,2,24,24h_calibration_slope,1.6434212962696049
chronological,linear_cox,2347,2,24,48h_threshold,0.09503582869278349
chronological,linear_cox,2347,2,24,48h_tp_ipcw,31.68516142832763
chronological,linear_cox,2347,2,24,48h_tn_ipcw,581.3711129348446
chronological,linear_cox,2347,2,24,48h_fp_ipcw,65.18806529475376
chronological,linear_cox,2347,2,24,48h_fn_ipcw,1.169247255604473
chronological,linear_cox,2347,2,24,48h_tss,0.8635882072115022
chronological,linear_cox,2347,2,24,48h_hss2,0.44867012050298827
chronological,linear_cox,2347,2,24,48h_far,0.6729213787943517
chronological,linear_cox,2347,2,24,48h_precision,0.32707862120564835
chronological,linear_cox,2347,2,24,48h_recall,0.9644112524789921
chronological,linear_cox,2347,2,24,48h_f1,0.4884874580333964
chronological,linear_cox,2347,2,24,48h_alert_fraction,0.1528046421663443
chronological,linear_cox,2347,2,24,48h_known_count,517.0
chronological,linear_cox,2347,2,24,48h_auc,0.9932188526162156
chronological,linear_cox,2347,2,24,48h_average_precision,0.9304771916823386
chronological,linear_cox,2347,2,24,48h_brier,0.01101662740862608
chronological,linear_cox,2347,2,24,48h_km_reference_brier,0.048246055336417265
chronological,linear_cox,2347,2,24,48h_bss,0.7716574478098219
chronological,linear_cox,2347,2,24,48h_predicted_survival_mean,0.9336857865447438
chronological,linear_cox,2347,2,24,48h_observed_survival_km,0.9525778467901921
chronological,linear_cox,2347,2,24,48h_ece,0.025048491082469263
chronological,linear_cox,2347,2,24,48h_calibration_intercept,-0.19696148306969277
chronological,linear_cox,2347,2,24,48h_calibration_slope,1.8148183339283752
chronological,linear_cox,2347,2,24,72h_threshold,0.1099573946987018
chronological,linear_cox,2347,2,24,72h_tp_ipcw,31.68516142832763
chronological,linear_cox,2347,2,24,72h_tn_ipcw,580.5565165045858
chronological,linear_cox,2347,2,24,72h_fp_ipcw,75.20162130888417
chronological,linear_cox,2347,2,24,72h_fn_ipcw,1.169247255604473
chronological,linear_cox,2347,2,24,72h_tss,0.8497323533964232
chronological,linear_cox,2347,2,24,72h_hss2,0.410454020857261
chronological,linear_cox,2347,2,24,72h_far,0.7035633348023236
chronological,linear_cox,2347,2,24,72h_precision,0.29643666519767636
chronological,linear_cox,2347,2,24,72h_recall,0.9644112524789921
chronological,linear_cox,2347,2,24,72h_f1,0.45348348766881086
chronological,linear_cox,2347,2,24,72h_alert_fraction,0.17130620985010706
chronological,linear_cox,2347,2,24,72h_known_count,467.0
chronological,linear_cox,2347,2,24,72h_auc,0.9937689739218176
chronological,linear_cox,2347,2,24,72h_average_precision,0.9422517002057016
chronological,linear_cox,2347,2,24,72h_brier,0.010842036153482348
chronological,linear_cox,2347,2,24,72h_km_reference_brier,0.05083338933226156
chronological,linear_cox,2347,2,24,72h_bss,0.7867142778417606
chronological,linear_cox,2347,2,24,72h_predicted_survival_mean,0.9249755777606204
chronological,linear_cox,2347,2,24,72h_observed_survival_km,0.9525778467901921
chronological,linear_cox,2347,2,24,72h_ece,0.03525300225385004
chronological,linear_cox,2347,2,24,72h_calibration_intercept,-0.4258398711114239
chronological,linear_cox,2347,2,24,72h_calibration_slope,1.9499552083410776
chronological,linear_cox,2347,2,24,144h_threshold,0.15953035421942852
chronological,linear_cox,2347,2,24,144h_tp_ipcw,35.14731788723395
chronological,linear_cox,2347,2,24,144h_tn_ipcw,526.973257585965
chronological,linear_cox,2347,2,24,144h_fp_ipcw,76.80581891941189
chronological,linear_cox,2347,2,24,144h_fn_ipcw,1.169247255604473
chronological,linear_cox,2347,2,24,144h_tss,0.8405955435485382
chronological,linear_cox,2347,2,24,144h_hss2,0.4248189328196188
chronological,linear_cox,2347,2,24,144h_far,0.686053299712925
chronological,linear_cox,2347,2,24,144h_precision,0.31394670028707505
chronological,linear_cox,2347,2,24,144h_recall,0.9678040241139091
chronological,linear_cox,2347,2,24,144h_f1,0.4740997982070363
chronological,linear_cox,2347,2,24,144h_alert_fraction,0.21518987341772153
chronological,linear_cox,2347,2,24,144h_known_count,316.0
chronological,linear_cox,2347,2,24,144h_auc,0.9922925315528094
chronological,linear_cox,2347,2,24,144h_average_precision,0.9458646135831178
chronological,linear_cox,2347,2,24,144h_brier,0.014101519040782079
chronological,linear_cox,2347,2,24,144h_km_reference_brier,0.05843412983047235
chronological,linear_cox,2347,2,24,144h_bss,0.7586766658168256
chronological,linear_cox,2347,2,24,144h_predicted_survival_mean,0.9097874243720121
chronological,linear_cox,2347,2,24,144h_observed_survival_km,0.9473444532866776
chronological,linear_cox,2347,2,24,144h_ece,0.06213147338563385
chronological,linear_cox,2347,2,24,144h_calibration_intercept,0.08980909700052754
chronological,linear_cox,2347,2,24,144h_calibration_slope,2.7456116220286626
chronological,linear_cox,2347,2,24,integrated_brier_score,0.011669929569123688
chronological,linear_cox,2347,2,24,integrated_auc,0.9932154123961698
chronological,logistic,2345,2,24,harrell_c_index,0.9651336349643174
chronological,logistic,2345,2,24,uno_c_index,0.8094923017802743
chronological,logistic,2345,2,24,event_event_pairs,703.0
chronological,logistic,2345,2,24,event_event_fraction,0.0327907085218527
chronological,logistic,2345,2,24,event_event_c_index,0.7439544807965861
chronological,logistic,2345,2,24,event_censored_pairs,20736.0
chronological,logistic,2345,2,24,event_censored_fraction,0.9672092914781473
chronological,logistic,2345,2,24,event_censored_c_index,0.972632137345679
chronological,logistic,2345,2,24,12h_threshold,0.04505940210596404
chronological,logistic,2345,2,24,12h_tp_ipcw,26.841039795711808
chronological,logistic,2345,2,24,12h_tn_ipcw,629.7246693061264
chronological,logistic,2345,2,24,12h_fp_ipcw,27.284431079121596
chronological,logistic,2345,2,24,12h_fn_ipcw,0.0
chronological,logistic,2345,2,24,12h_tss,0.9584717607973421
chronological,logistic,2345,2,24,12h_hss2,0.6443527312086195
chronological,logistic,2345,2,24,12h_far,0.5040959577463552
chronological,logistic,2345,2,24,12h_precision,0.49590404225364487
chronological,logistic,2345,2,24,12h_recall,1.0
chronological,logistic,2345,2,24,12h_f1,0.663015846265839
chronological,logistic,2345,2,24,12h_alert_fraction,0.08121019108280254
chronological,logistic,2345,2,24,12h_known_count,628.0
chronological,logistic,2345,2,24,12h_auc,0.997875514530112
chronological,logistic,2345,2,24,12h_average_precision,0.9604023093998871
chronological,logistic,2345,2,24,12h_brier,0.009275003683918459
chronological,logistic,2345,2,24,12h_km_reference_brier,0.03719403170926477
chronological,logistic,2345,2,24,12h_bss,0.7506319358864202
chronological,logistic,2345,2,24,12h_predicted_survival_mean,0.9644463409852763
chronological,logistic,2345,2,24,12h_observed_survival_km,0.9613497134749082
chronological,logistic,2345,2,24,12h_ece,0.013218748057093686
chronological,logistic,2345,2,24,12h_calibration_intercept,1.0558415358087652
chronological,logistic,2345,2,24,12h_calibration_slope,1.8919255079093704
chronological,logistic,2345,2,24,24h_threshold,0.25343690188703094
chronological,logistic,2345,2,24,24h_tp_ipcw,24.76472870876398
chronological,logistic,2345,2,24,24h_tn_ipcw,648.9559094238693
chronological,logistic,2345,2,24,24h_fp_ipcw,10.561669411961708
chronological,logistic,2345,2,24,24h_fn_ipcw,3.2455583425523042
chronological,logistic,2345,2,24,24h_tss,0.8681155372826814
chronological,logistic,2345,2,24,24h_hss2,0.7716237570343861
